nomRepo,url,updated,size,stars,watchers,forks,views,viewsUniques,clones,clonesUniques
analytics-google,https://github.com/cristianpb/analytics-google,2022-01-24T07:32:12Z,5147,8,8,4,15,8,36,19
cristianpb.github.io,https://github.com/cristianpb/cristianpb.github.io,2021-06-15T08:51:59Z,103309,0,0,2,2,1,6,4
dotfiles,https://github.com/cristianpb/dotfiles,2022-05-24T00:57:27Z,397,24,24,5,87,17,5,5
gswsr,https://github.com/cristianpb/gswsr,2020-12-04T07:35:38Z,2132,0,0,0,0,0,1,1
hubot-ratp,https://github.com/cristianpb/hubot-ratp,2018-01-18T21:38:00Z,95,0,0,0,0,0,1,1
hubot-velib,https://github.com/cristianpb/hubot-velib,2018-01-15T10:32:59Z,43,0,0,0,0,0,5,4
muse,https://github.com/cristianpb/muse,2022-04-13T19:19:27Z,902,26,26,5,51,31,2,1
object-detection,https://github.com/cristianpb/object-detection,2022-03-16T07:38:42Z,820,49,49,18,337,69,9,8
object-detection-frontend,https://github.com/cristianpb/object-detection-frontend,2021-10-10T20:38:58Z,1263,1,1,1,15,9,18,3
piac-bot,https://github.com/cristianpb/piac-bot,2020-05-25T06:24:01Z,164,0,0,1,0,0,1,1
rhasspy-handler,https://github.com/cristianpb/rhasspy-handler,2022-01-08T21:03:41Z,401,5,5,1,9,7,0,0
stats,https://github.com/cristianpb/stats,2021-02-15T11:30:17Z,1059,0,0,0,0,0,67,26
telegraf-influxdb-grafana-docker,https://github.com/cristianpb/telegraf-influxdb-grafana-docker,2022-04-29T10:09:22Z,242,13,13,21,40,14,1,1
temp-sigfox,https://github.com/cristianpb/temp-sigfox,2021-05-17T21:06:24Z,122,1,1,1,2,1,0,0
tkasme,https://github.com/cristianpb/tkasme,2020-09-03T19:59:44Z,125803,0,0,0,1,1,0,0
velo.club,https://github.com/cristianpb/velo.club,2020-09-12T06:47:47Z,347,0,0,0,0,0,2,1
vimwiki,https://github.com/cristianpb/vimwiki,2021-10-04T21:34:00Z,123,5,5,4,34,6,0,0
